Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID
"Adebayo, Alaba Joseph",19638329400,2,"Chemistry
Environmental Science
Materials Science
Chemical Engineering
",
"Owolabi, Kikelomo",57203778836,1,"Agricultural and Biological Sciences
",
"Elvis Okoronkwo, Afamefuna",58030791700,1,"Chemistry
",
"Adenugba, Adewale Kingsley",57270934000,1,"Physics and Astronomy
Earth and Planetary Sciences
",
"Patrick, Chukwurah Olisa",57211337119,1,"Engineering
Environmental Science
",
"Adebayo, A. D.",57224647416,1,"Medicine
Immunology and Microbiology
",
"Omojola, M. T.",57221443923,7,"Mathematics
Physics and Astronomy
Materials Science
Decision Sciences
Computer Science
",
"Ajayi, Kehinde Oluyemi",58168252700,1,"Medicine
Biochemistry, Genetics and Molecular Biology
",
"Adelabu, I. O.",57375337900,1,"Multidisciplinary
",
"Adeoti, Abimbola R.",57997867900,1,"Medicine
",
"Oluwole, Babatunde Oladapo",58198401600,1,"Social Sciences
Agricultural and Biological Sciences
",
"Longe, Kuburat O.",56708762200,1,"Medicine
",
"Olateru-Olagbegi, Adeniyi Thomas",57219547313,1,"Business, Management and Accounting
Social Sciences
",
"Nyabeze, P. K.",56537125800,1,"Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Engineering
Agricultural and Biological Sciences
Medicine
",
"Abdulkareem, Abdullah",57220587908,1,"Materials Science
",
"Ogunsile, Olawale Johnson",57328249800,1,"Biochemistry, Genetics and Molecular Biology
",
"Mewase, Ademola O.",58316835500,1,"Agricultural and Biological Sciences
Social Sciences
Environmental Science
",
"Odiyi, Bridget O.",56589994900,1,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
",
"Fasuru, B. E.",6505514284,1,"Agricultural and Biological Sciences
",
"Jegede, G.",6507529868,1,"Engineering
Materials Science
",
"Okafor, Nkechi Ruth",57216766611,1,"Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
",
"Ogunjo, Samuel T.",55696289100,68,"Environmental Science
Earth and Planetary Sciences
Physics and Astronomy
Engineering
Mathematics
Computer Science
Medicine
Materials Science
Business, Management and Accounting
Multidisciplinary
Social Sciences
Agricultural and Biological Sciences
Economics, Econometrics and Finance
Decision Sciences
Energy
Chemistry
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
",0000-0002-6986-1939
"Olufowobi, J.",56439990600,1,"Engineering
",
"Ademilua, B. O.",55631929800,1,"Engineering
Physics and Astronomy
Materials Science
",
"Arogundade, O. K.",56046098300,1,"Environmental Science
",
"Ekundayo, O. O.",57893026400,1,"Engineering
",
"Azeez, Hafsat Idowu",57192091922,1,"Agricultural and Biological Sciences
Nursing
",
"Eweola, Paul Ayomide",58355398800,1,"Multidisciplinary
",
"Adedeji, Ayodeji Adeola",57899603300,3,"Chemistry
Computer Science
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
Nursing
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Medicine
",
"Akinlosotu, Oluwaseun Benedicta",57447867000,1,"Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
",
"Akinsola, Akinyosoye Felix",57193343110,1,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
",
"Ogunyemi, O.",24394319100,1,"Agricultural and Biological Sciences
Immunology and Microbiology
Veterinary
",
"Stephens, Mobolaji S.",56005423100,5,"Economics, Econometrics and Finance
Arts and Humanities
Social Sciences
Business, Management and Accounting
",
"Daramola, Bivi",6503934722,1,"Environmental Science
Earth and Planetary Sciences
Social Sciences
",
"Atofarati, John Oluwatosin",57773003000,1,"Engineering
Business, Management and Accounting
",
"Adukwu, Ojonugwa",57240669200,4,"Computer Science
Energy
Engineering
Physics and Astronomy
Mathematics
Materials Science
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Chemistry
",
"Ayuk, A. M.",6504665822,1,"Earth and Planetary Sciences
Environmental Science
",
"Osungwu, C. I.",6504071938,1,"Agricultural and Biological Sciences
",
"Manuwa, Seth Idowu",16550307000,26,"Agricultural and Biological Sciences
Engineering
Energy
Environmental Science
Earth and Planetary Sciences
Multidisciplinary
Chemical Engineering
",
"Ajayi, O. A.",57219469765,1,"Engineering
Physics and Astronomy
Materials Science
",
"Oloruntoba, A. P.",57204572024,1,"Agricultural and Biological Sciences
",
"Dasgupta, Ajoy Kumar",16476146400,14,"Physics and Astronomy
Earth and Planetary Sciences
",
"Abbas, Jenny A.",54966186100,1,"Materials Science
",
"Oja Daramola, Oluyemi",57993739000,1,"Immunology and Microbiology
",
"Ayekusibe, Paul O.",57222130146,1,"Engineering
Chemical Engineering
",
"Fuwape, Joseph Adeola",6603549879,17,"Agricultural and Biological Sciences
Environmental Science
Chemical Engineering
Immunology and Microbiology
Energy
Physics and Astronomy
Social Sciences
Earth and Planetary Sciences
Economics, Econometrics and Finance
Chemistry
",
"Otasowie, Iyare",56369826500,7,"Computer Science
Engineering
",0000-0002-6659-8100
"Ogunshola, Olawale J.",57207573231,2,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
",
"V.o, Ajayi",57641083300,1,"Earth and Planetary Sciences
",
"Idowu, Emmanuel Toluwalope",57469519300,1,"Engineering
Mathematics
",
"Akeju, Adebayo Victor",57674335000,2,"Agricultural and Biological Sciences
Multidisciplinary
",
"Afolayan, Joseph Olasehinde",36180815400,17,"Engineering
Earth and Planetary Sciences
Computer Science
Environmental Science
Materials Science
Social Sciences
Decision Sciences
Energy
Chemical Engineering
Agricultural and Biological Sciences
",
"Temikotan, Taye",18635421300,2,"Agricultural and Biological Sciences
Computer Science
",
"Joseph, O. E.",55541835100,1,"Agricultural and Biological Sciences
Chemical Engineering
",
"Ogunleye, Aderopo",57201633190,1,"Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
",
"Olaleye, Oluwatoyin Khadijat",57255392000,1,"Earth and Planetary Sciences
Energy
",0000-0003-1032-2129
"Kanu, C. O.",57208556553,1,"Materials Science
",
"Falaki, Samuel Oluwole",6507941608,8,"Computer Science
Engineering
Social Sciences
",
"Ogundare, Margaret Ojone",57221803556,1,"Environmental Science
Engineering
Agricultural and Biological Sciences
Earth and Planetary Sciences
",
"Popoola, Temitope V.",57225268093,2,"Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Environmental Science
Agricultural and Biological Sciences
Medicine
",
"Ayeni, Peace Kanyinsola",57249769200,1,"Mathematics
",
"Ademiloye, J. T.",57967381800,1,"Earth and Planetary Sciences
Environmental Science
",
"Oladuti, Olubimpe Mercy",57212536541,1,"Medicine
",
"Osigwe, Magoh A.",57208706730,1,"Agricultural and Biological Sciences
",
"Emmanuel, Opara Uchechukwu",57880006600,1,"Environmental Science
Chemical Engineering
",
"Adewuyi, Benjamin Omotayo",26025935000,22,"Materials Science
Engineering
Chemical Engineering
Physics and Astronomy
Multidisciplinary
Computer Science
Medicine
Biochemistry, Genetics and Molecular Biology
Chemistry
Earth and Planetary Sciences
Environmental Science
Mathematics
Agricultural and Biological Sciences
",
"Adelakun, Omowumi Sarah",58401265400,1,"Agricultural and Biological Sciences
Nursing
",
"Udeh, E. N.",55356479900,1,"Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
",
"Obafaye, Rebeccah Olajumoke",57199749250,2,"Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
",
"Oluwaniyi, Olaoluwa Emmanuel",57216707826,3,"Environmental Science
Earth and Planetary Sciences
Agricultural and Biological Sciences
Energy
",
"Babalola, Saheed Adeoye",57219031420,6,"Materials Science
Engineering
",0000-0003-0423-7518
"Shodeinde, R.",57224542335,1,"Environmental Science
Social Sciences
",
"Ogundele, Oluwatoyin M A",57191038654,1,"Agricultural and Biological Sciences
",
"Akintorinwa, O. J.",35096003500,5,"Earth and Planetary Sciences
Environmental Science
Agricultural and Biological Sciences
Physics and Astronomy
Materials Science
Energy
Multidisciplinary
Decision Sciences
",
"Oyegoke, Funke Olawumi",57395569300,1,"Environmental Science
",
"Melodi, M. M.",54403355200,1,"Engineering
",
"Victoria, Adedokun A.",57223326848,2,"Engineering
Business, Management and Accounting
Decision Sciences
",
"Udoka, Chike Godwin",58514627600,1,"Engineering
",
"Jegede, Stella O.",57328404100,1,"Agricultural and Biological Sciences
",
"Isim, S.",57213965412,1,"Environmental Science
Biochemistry, Genetics and Molecular Biology
Earth and Planetary Sciences
Medicine
",
"Gayawan, Ezra",36020052800,59,"Medicine
Social Sciences
Environmental Science
Mathematics
Multidisciplinary
Agricultural and Biological Sciences
Earth and Planetary Sciences
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Nursing
Decision Sciences
Arts and Humanities
Veterinary
Chemistry
",0000-0001-7702-4586
"Okpara, J. N.",15521058900,4,"Earth and Planetary Sciences
Environmental Science
",
"Olanrewaju, O. O.",57212572267,13,"Environmental Science
Agricultural and Biological Sciences
Energy
Immunology and Microbiology
Engineering
Computer Science
Social Sciences
Multidisciplinary
",0000-0002-3085-7641
"Anifowose, Yekeen Biodun",6505714330,2,"Earth and Planetary Sciences
Environmental Science
",
"Victoria, Adediran Oluwatomisin",58145945900,2,"Earth and Planetary Sciences
Arts and Humanities
Environmental Science
Social Sciences
Engineering
Computer Science
",
"Dareowolabi, Boluwatife Olamide",57403324700,2,"Medicine
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
",
"Akpudo, C. U.",58514394100,1,"Engineering
",
"Alliagbor, Rasheedat",58163672000,1,"Business, Management and Accounting
Economics, Econometrics and Finance
Social Sciences
Environmental Science
",
"Atitebi, M. O.",57218542245,1,"Multidisciplinary
",
"Kade, Ige Joseph",6503853677,29,"Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Medicine
Agricultural and Biological Sciences
Chemistry
Neuroscience
Environmental Science
Chemical Engineering
Immunology and Microbiology
",
"Ajayi, Modupe",57225996549,1,"Business, Management and Accounting
",
"Omomoh, Bernard Eromosele",57211316655,2,"Agricultural and Biological Sciences
Environmental Science
",
"Aluko, Joel Ojo",25951337200,7,"Medicine
Environmental Science
Agricultural and Biological Sciences
Nursing
",
"Adebayo, Adegboyega",57485805400,1,"Computer Science
Engineering
",
"Owolabi, T. P.",24367291800,1,"Physics and Astronomy
Energy
Medicine
Health Professions
",
"Aribo, Sunday",42160937000,25,"Materials Science
Engineering
Physics and Astronomy
Chemical Engineering
Chemistry
Computer Science
Earth and Planetary Sciences
Environmental Science
Mathematics
Energy
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
",0000-0001-9733-5103
"Ogunsote, Olu Ola",6507380638,2,"Social Sciences
Engineering
",
"Ogunjinmi, Adekunle Anthony",55070781100,7,"Social Sciences
Environmental Science
Agricultural and Biological Sciences
Arts and Humanities
Earth and Planetary Sciences
Energy
Business, Management and Accounting
Biochemistry, Genetics and Molecular Biology
",
"Famakinwa, O. A.",57478509500,4,"Mathematics
Engineering
",
"Kareem, Bulihameen",57214481402,6,"Computer Science
Chemical Engineering
Engineering
Energy
Materials Science
Economics, Econometrics and Finance
Multidisciplinary
Environmental Science
",
"Yomi Alfred, S. D.",58484271800,1,"Agricultural and Biological Sciences
Social Sciences
",
"Fehintola, Adeola Bimbola",57577958500,1,"Agricultural and Biological Sciences
",
"Ikuerowo, M.",37117124600,1,"Agricultural and Biological Sciences
",
"Akinnagbe, Akindele B.",16024152700,5,"Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Physics and Astronomy
Immunology and Microbiology
Chemical Engineering
",
"Olopoda, Isaac A.",57777060600,1,"Immunology and Microbiology
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
",
"Kayode, Olayemisi Funmi",57845421600,1,"Business, Management and Accounting
",
"Fatuyi, Olusegun A.",57219777627,1,"Engineering
Social Sciences
",
"Adebayo, Francis Bosede",58192313100,1,"Agricultural and Biological Sciences
",
"Saliu, Rilwan",58140126900,1,"Computer Science
Social Sciences
Engineering
",
"Nwanna, Lawrence C.",6508235654,18,"Agricultural and Biological Sciences
Environmental Science
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
Immunology and Microbiology
Veterinary
",
"Obolo, O. E.",57203986967,2,"Engineering
Materials Science
Business, Management and Accounting
",
"Tolorunshagba, J. M.",35090570000,1,"Engineering
Materials Science
",
"Olumide S, Adewale",16176293000,1,"Decision Sciences
",
"Oloyede, Solomon Babatunde",57298818200,1,"Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
",
"Owoseeni, E. A.",57025070000,1,"Agricultural and Biological Sciences
",
"Ibe, C.",57213167419,1,"Engineering
",
"Akinrinola, Olumide Oyewole",55937803200,3,"Social Sciences
Agricultural and Biological Sciences
Environmental Science
",
"Olusesan, Temikotan Kehinde",57194575016,1,"Engineering
Computer Science
",
"Akomolafe, O. M.",16836010400,4,"Agricultural and Biological Sciences
",
"Oboh, Christian C.",20436936100,2,"Biochemistry, Genetics and Molecular Biology
",
"Ajani, A. M.",57575344500,1,"Engineering
",
"Omoyemi, Ola Omole O.",57223305928,1,"Materials Science
",
"Eghwubare, Oghenedoro",42161391000,1,"Engineering
Materials Science
Chemical Engineering
",
"Ugoh, Marybeth C.",57877307600,1,"Chemistry
",
"Edward, O. V.",57210265154,2,"Earth and Planetary Sciences
Physics and Astronomy
Engineering
Multidisciplinary
",
"Ajao, Adewale A.",57476561200,1,"Medicine
Biochemistry, Genetics and Molecular Biology
",
"Bodunwa, Oluwatoyin Kikelomo",57328582300,1,"Engineering
Economics, Econometrics and Finance
Social Sciences
Mathematics
Decision Sciences
Computer Science
",
"Oyeniran, K. A.",58389726200,2,"Agricultural and Biological Sciences
Immunology and Microbiology
Medicine
",
"Adegunloye, Ajibola V.",57201983711,2,"Environmental Science
Chemistry
Biochemistry, Genetics and Molecular Biology
Engineering
Medicine
",
"Afu, Damilola Johnson",55893559900,2,"Engineering
Earth and Planetary Sciences
",
"Kazeem, Abdullahi Kikelomo",56263449500,2,"Physics and Astronomy
Earth and Planetary Sciences
",
"Raheem, Abdulkareem",57207945317,4,"Agricultural and Biological Sciences
Immunology and Microbiology
Environmental Science
",
"Mamukuyomi, Emmanuel Abiodun",57204841184,1,"Multidisciplinary
",
"Bichanga'a, Dennis O.",57948880500,1,"Materials Science
",
"Olugosi, Olayemi Aanuoluwapo",57223200870,1,"Agricultural and Biological Sciences
",
"Ologbonjaye, Kehinde I.",57222171575,1,"Environmental Science
Medicine
",
"Lawal, A.",57211276493,6,"Agricultural and Biological Sciences
Environmental Science
Medicine
Biochemistry, Genetics and Molecular Biology
",0000-0001-8607-629X
"Adeyefa, Z. Debo",6602229202,5,"Materials Science
Energy
Engineering
Earth and Planetary Sciences
",
"Nwachukwu, Uchechi",57211600999,1,"Engineering
Agricultural and Biological Sciences
Chemical Engineering
",
"Alabi, S.",58302721900,1,"Earth and Planetary Sciences
Engineering
Agricultural and Biological Sciences
",
"Akinboyewa, Lawrence Olakunle",57218140785,1,"Materials Science
",
"Hassan, Usman Olamide",57216932420,2,"Environmental Science
Agricultural and Biological Sciences
",
"Badewa, A. O.",57929541600,1,"Computer Science
Social Sciences
",
"Malomo, Sunday Abiodun",55450090900,44,"Agricultural and Biological Sciences
Chemistry
Medicine
Nursing
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Engineering
Pharmacology, Toxicology and Pharmaceutics
Multidisciplinary
Computer Science
",
"Ayinde, Yusuf Timilehin",57221304536,2,"Materials Science
Energy
Chemistry
Chemical Engineering
Engineering
",
"Ayodele, I. A.",57224934828,1,"Environmental Science
",
"Olorunleye, Paul Toluwalagbara",56426420600,2,"Engineering
Materials Science
Chemical Engineering
",
"Aderibigbe, Adebola M.",57284975000,1,"Agricultural and Biological Sciences
Veterinary
",
"Akingbade, Francis K.",57208030832,1,"Engineering
Economics, Econometrics and Finance
Social Sciences
Computer Science
",
"Olufayo, Ayorindeakinlabi",6602570616,33,"Agricultural and Biological Sciences
Earth and Planetary Sciences
Environmental Science
Engineering
Pharmacology, Toxicology and Pharmaceutics
Social Sciences
Immunology and Microbiology
Economics, Econometrics and Finance
Energy
Chemical Engineering
Multidisciplinary
Medicine
Decision Sciences
",
"Ayodele, Bb",57216257747,1,"Agricultural and Biological Sciences
",
"Samuel, Oluyamo Sunday",57667666900,1,"Agricultural and Biological Sciences
Computer Science
Environmental Science
Chemical Engineering
",
"Okoro, Christian Junior",58289884200,1,"Engineering
Materials Science
",
"Osasan, Stephen K.",30567606400,2,"Earth and Planetary Sciences
Engineering
Energy
",
"Ogunlowo, Olayemi M.",57486500100,1,"Multidisciplinary
",
"Popoola, Temidayo I.",57222487301,1,"Earth and Planetary Sciences
",
"Olatunji, Sylvester Oluyemi",58390766800,1,"Computer Science
Mathematics
",
"Ojo, Oluwole Timothy",57209287272,10,"Engineering
Energy
Environmental Science
Business, Management and Accounting
Materials Science
Decision Sciences
Agricultural and Biological Sciences
Chemistry
Earth and Planetary Sciences
Mathematics
Chemical Engineering
",
"Falodun, Sunday Emmanuel",11240162800,15,"Earth and Planetary Sciences
Physics and Astronomy
Engineering
Environmental Science
Materials Science
Multidisciplinary
Chemical Engineering
Computer Science
",
"Sikira, Omeyoma",58145746300,1,"Earth and Planetary Sciences
Engineering
Environmental Science
",
"Edwin-Ezeh, Joy Chinazaekpere",57766293900,1,"Materials Science
",
"Famodimu, Oluwasefunmi Busola",57218769318,1,"Engineering
Computer Science
Economics, Econometrics and Finance
",
"Onibi, Gbenga Emmanuel",23103706900,20,"Agricultural and Biological Sciences
Chemistry
Veterinary
Biochemistry, Genetics and Molecular Biology
Business, Management and Accounting
Economics, Econometrics and Finance
Environmental Science
Engineering
",
"Basorun, Joseph O.",55181779900,3,"Environmental Science
Arts and Humanities
Energy
Social Sciences
Engineering
Agricultural and Biological Sciences
Medicine
",0000-0002-9884-6260
"Falarunu, Abiodun James",57217234502,2,"Engineering
Agricultural and Biological Sciences
Chemical Engineering
Nursing
",
"Oyedepo, Joseph O.",57205247458,2,"Engineering
Materials Science
Environmental Science
",
"Amuwah, Victor Onuorah",58313650300,1,"Environmental Science
Social Sciences
",
"Akinduro, H. A.",15025988200,1,"Biochemistry, Genetics and Molecular Biology
",
"Jesuyon Dansu, Emmanuel",57796518100,1,"Computer Science
Energy
Social Sciences
Decision Sciences
",
"Adeosun, Sunday Samuel",57408773000,1,"Agricultural and Biological Sciences
",
"Komolafe, R. T.",6504135619,1,"Chemistry
",
"Kehinde, Idayat Oyinkansola",58532184300,1,"Biochemistry, Genetics and Molecular Biology
",
"Ojelabi, A.",15822498900,1,"Agricultural and Biological Sciences
Medicine
Nursing
",
"Ofoegbu, F. A.",26026079700,1,"Engineering
",
"Babatuyi, V. A.",58022399700,1,"Earth and Planetary Sciences
Agricultural and Biological Sciences
Engineering
",
"Adepoju, Adeyemi Oluwaseun",56548554600,6,"Energy
Social Sciences
Engineering
Computer Science
Arts and Humanities
Business, Management and Accounting
Economics, Econometrics and Finance
",0000-0002-2841-8092
"Agbanimu, Ayodeji Benjamin",57219658252,1,"Agricultural and Biological Sciences
",
"Oduntan, Evelyn B.",57196479243,2,"Computer Science
",
"Stephens, Omatshola B.",56094553400,1,"Arts and Humanities
Economics, Econometrics and Finance
Social Sciences
",
"Raymond, Ojo O.",57919828200,1,"Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
",
"Olusola-Makinde, Olubukola Olayemi",57203659862,12,"Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Environmental Science
Multidisciplinary
Health Professions
Neuroscience
Computer Science
",0000-0002-5012-2458
"Adenikinju, Rufus Omotayo",56271874000,1,"Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
",
"Fikayomi, Paul B.",58107312600,1,"Medicine
",
"Asasile, Idowu I.",58404015400,1,"Agricultural and Biological Sciences
Nursing
",
"God’swill Olebu, Chinedu",57220601933,1,"Multidisciplinary
",
"Bello, Wasiu Ademola",56333751800,2,"Earth and Planetary Sciences
Engineering
Energy
",
"Agbonifo, Oluwatoyin C.",37111881300,6,"Social Sciences
Computer Science
",0000-0001-8888-1137
"Ayodele-Oni, Olubunmi",37045196500,1,"Agricultural and Biological Sciences
",
"Olatunbode, Abiodun",57203961652,1,"Business, Management and Accounting
Engineering
",
"Badejo, Adebanjo Ayobamidele",21739388400,38,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Engineering
Chemistry
Nursing
Chemical Engineering
Medicine
Multidisciplinary
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
",
"Iwaeni, Olutoyosi O.",57216433424,1,"Agricultural and Biological Sciences
",
"Onuh, Linus Nnabuike",57728537800,4,"Engineering
Materials Science
Physics and Astronomy
",
"Olusegun, Samuel Olufemi",57211131761,1,"Arts and Humanities
Social Sciences
",
"Oluwatuyi, Bola Glorious",56879189800,1,"Arts and Humanities
Environmental Science
",
"Lateef, Bola",57763920100,1,"Earth and Planetary Sciences
Social Sciences
Environmental Science
",
"Ayodeji, Akeju Ayobami",57956296500,1,"Arts and Humanities
Social Sciences
",
"Ajala, Peter T.",57224367136,1,"Multidisciplinary
",
"Onagbola, Ebenezer O.",9734796500,18,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Environmental Science
Physics and Astronomy
Materials Science
Chemistry
",
"Ojo, T. S.",57194189597,1,"Earth and Planetary Sciences
Engineering
Environmental Science
",
"Joseph Kade, Ige",57190937168,1,"Pharmacology, Toxicology and Pharmaceutics
",
"Obideyi, B. D.",57214330808,4,"Chemical Engineering
Physics and Astronomy
Engineering
",
"Ogwude, Innocent C.",6505993654,10,"Social Sciences
Economics, Econometrics and Finance
Environmental Science
Earth and Planetary Sciences
Business, Management and Accounting
Engineering
Decision Sciences
",
"Adeoye, Babatunde Kazeem",57201946328,7,"Environmental Science
Chemical Engineering
Agricultural and Biological Sciences
Mathematics
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Engineering
",
"Fakologbon, Titilope",58176421000,1,"Agricultural and Biological Sciences
Nursing
",
"Rotowa, Olukayode O.",56004981500,3,"Arts and Humanities
Economics, Econometrics and Finance
Social Sciences
Multidisciplinary
",
"Abegunrin, O. A.",57191597303,3,"Engineering
Physics and Astronomy
Materials Science
",
"Ajileye, O.",16038468600,1,"Agricultural and Biological Sciences
Medicine
Nursing
",
"Abioye, Sadeeq Adewale",57221913638,2,"Medicine
Immunology and Microbiology
",
